trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.12129371612034169,0.1460454742916839,0.03,"{""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""gamma"": 0.0, ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_leaves"": 31, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0, ""weights"": ""uniform""}",
2,success,0.13263793331074752,-0.04364991445009845,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 45, ""n_neighbors"": 82, ""p"": 1, ""random_state"": 115, ""strategy"": ""shared"", ""weights"": ""uniform""}",
3,success,0.1368548174216698,-0.06908955851107496,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 85, ""n_neighbors"": 95, ""p"": 2, ""random_state"": 17, ""strategy"": ""shared"", ""weights"": ""uniform""}",
4,success,0.11944227671863172,0.07593578966498948,0.00,"{""algorithm"": ""ball_tree"", ""leaf_size"": 74, ""n_neighbors"": 12, ""p"": 1, ""random_state"": 288, ""strategy"": ""shared"", ""weights"": ""uniform""}",
5,success,0.13049617593995774,-0.020508862525639732,0.00,"{""algorithm"": ""ball_tree"", ""leaf_size"": 67, ""n_neighbors"": 92, ""p"": 2, ""random_state"": 415, ""strategy"": ""shared"", ""weights"": ""distance""}",
6,success,0.13748567312154764,-0.07502224859966905,0.00,"{""algorithm"": ""brute"", ""leaf_size"": 53, ""n_neighbors"": 98, ""p"": 2, ""random_state"": 80, ""strategy"": ""shared"", ""weights"": ""uniform""}",
7,success,0.13147124860285567,-0.02902210066975432,0.06,"{""algorithm"": ""auto"", ""leaf_size"": 21, ""n_neighbors"": 98, ""p"": 2, ""random_state"": 50, ""strategy"": ""separate"", ""weights"": ""distance""}",
8,success,0.11842574454060535,0.06081331647148347,0.05,"{""algorithm"": ""auto"", ""leaf_size"": 68, ""n_neighbors"": 45, ""p"": 1, ""random_state"": 499, ""strategy"": ""separate"", ""weights"": ""distance""}",
9,success,0.10977976882013096,0.15728735246124667,0.00,"{""algorithm"": ""kd_tree"", ""leaf_size"": 83, ""n_neighbors"": 11, ""p"": 1, ""random_state"": 361, ""strategy"": ""shared"", ""weights"": ""distance""}",
10,success,0.11918032922790293,0.11032501474857476,0.00,"{""algorithm"": ""kd_tree"", ""leaf_size"": 20, ""n_neighbors"": 6, ""p"": 1, ""random_state"": 444, ""strategy"": ""shared"", ""weights"": ""uniform""}",
11,success,0.12180210827176678,0.03771693369185747,0.00,"{""algorithm"": ""brute"", ""leaf_size"": 91, ""n_neighbors"": 49, ""p"": 2, ""random_state"": 84, ""strategy"": ""separate"", ""weights"": ""distance""}",
12,success,0.12515405103515287,0.004373427879074576,0.00,"{""algorithm"": ""kd_tree"", ""leaf_size"": 99, ""n_neighbors"": 46, ""p"": 1, ""random_state"": 312, ""strategy"": ""shared"", ""weights"": ""uniform""}",
13,success,0.131463436954213,-0.03818679718534077,0.00,"{""algorithm"": ""ball_tree"", ""leaf_size"": 69, ""n_neighbors"": 69, ""p"": 2, ""random_state"": 139, ""strategy"": ""shared"", ""weights"": ""uniform""}",
14,success,0.12639599915671598,0.006122597646732601,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 39, ""n_neighbors"": 88, ""p"": 1, ""random_state"": 413, ""strategy"": ""separate"", ""weights"": ""distance""}",
15,success,0.12289189726594907,0.031287772440470596,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 37, ""n_neighbors"": 52, ""p"": 2, ""random_state"": 109, ""strategy"": ""separate"", ""weights"": ""distance""}",
16,success,0.11946720766081066,0.0519182567191831,0.00,"{""algorithm"": ""ball_tree"", ""leaf_size"": 43, ""n_neighbors"": 51, ""p"": 1, ""random_state"": 127, ""strategy"": ""separate"", ""weights"": ""distance""}",
17,success,0.12767064190692215,-0.0038449164569998584,0.00,"{""algorithm"": ""brute"", ""leaf_size"": 56, ""n_neighbors"": 96, ""p"": 1, ""random_state"": 71, ""strategy"": ""separate"", ""weights"": ""distance""}",
18,success,0.11944227671863172,0.07593578966498954,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 29, ""n_neighbors"": 12, ""p"": 1, ""random_state"": 406, ""strategy"": ""separate"", ""weights"": ""uniform""}",
19,success,0.13363528871517558,-0.04884464129202043,0.00,"{""algorithm"": ""brute"", ""leaf_size"": 58, ""n_neighbors"": 77, ""p"": 2, ""random_state"": 271, ""strategy"": ""separate"", ""weights"": ""uniform""}",
20,success,0.13196579798711203,-0.04128658892120144,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 97, ""n_neighbors"": 71, ""p"": 2, ""random_state"": 394, ""strategy"": ""separate"", ""weights"": ""uniform""}",
21,success,0.1151504360449674,0.1227468523605252,0.00,"{""algorithm"": ""brute"", ""leaf_size"": 30, ""n_neighbors"": 15, ""p"": 2, ""random_state"": 2, ""strategy"": ""separate"", ""weights"": ""distance""}",
22,success,0.131172411886437,-0.03288965610665586,0.00,"{""algorithm"": ""auto"", ""leaf_size"": 90, ""n_neighbors"": 65, ""p"": 2, ""random_state"": 431, ""strategy"": ""shared"", ""weights"": ""uniform""}",
