rank,trial,validation_avg_rmse,validation_avg_r2,params
1,trial_06,0.117181,0.175419,"{""hidden_dims"": [8, 4], ""num_chains"": 1, ""num_samples"": 374, ""num_warmup"": 416, ""strategy"": ""separate""}"
2,trial_01,0.117820,0.170296,"{""hidden_dims"": [16, 16], ""num_chains"": 1, ""num_samples"": 325, ""num_warmup"": 340, ""strategy"": ""separate""}"
3,baseline,19255.705193,-70925929546.909225,"{""C"": 1.0, ""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""coef0"": 0.0, ""colsample_bytree"": 1.0, ""degree"": 3, ""early_stopping_rounds"": 50, ""epsilon"": 0.1, ""gamma"": 0.0, ""hidden_dims"": [16], ""kernel"": ""rbf"", ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_chains"": 1, ""num_leaves"": 31, ""num_samples"": 1000, ""num_warmup"": 1000, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0, ""svr_gamma"": ""scale"", ""weights"": ""uniform""}"
