trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.13700461992500254,-0.0642497552788135,0.02,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.12815046694009746,0.00566425276950161,0.02,"{""colsample_bytree"": 0.471424, ""max_depth"": 6, ""min_child_samples"": 4, ""n_estimators"": 1409, ""random_state"": 72, ""strategy"": ""shared"", ""subsample"": 0.870775}",
3,success,0.14688839721627908,-0.12090528621957604,0.02,"{""colsample_bytree"": 0.595345, ""max_depth"": 26, ""min_child_samples"": 70, ""n_estimators"": 1485, ""random_state"": 16, ""strategy"": ""shared"", ""subsample"": 0.543469}",
4,success,0.14688064971841636,-0.12170403794144942,0.08,"{""colsample_bytree"": 0.692872, ""max_depth"": 10, ""min_child_samples"": 65, ""n_estimators"": 547, ""random_state"": 367, ""strategy"": ""separate"", ""subsample"": 0.801009}",
5,success,0.1471167451230687,-0.12372107769209684,0.01,"{""colsample_bytree"": 0.90851, ""max_depth"": 17, ""min_child_samples"": 76, ""n_estimators"": 551, ""random_state"": 389, ""strategy"": ""shared"", ""subsample"": 0.639095}",
6,success,0.14696583101919236,-0.12260506496244805,0.10,"{""colsample_bytree"": 0.45072, ""max_depth"": 16, ""min_child_samples"": 44, ""n_estimators"": 1529, ""random_state"": 391, ""strategy"": ""separate"", ""subsample"": 0.638936}",
7,success,0.14668082278879382,-0.12193619677594318,0.01,"{""colsample_bytree"": 0.893246, ""max_depth"": 5, ""min_child_samples"": 49, ""n_estimators"": 309, ""random_state"": 310, ""strategy"": ""separate"", ""subsample"": 0.548358}",
8,success,0.14694581545819566,-0.12237724620338301,0.05,"{""colsample_bytree"": 0.387378, ""max_depth"": 4, ""min_child_samples"": 94, ""n_estimators"": 1752, ""random_state"": 473, ""strategy"": ""separate"", ""subsample"": 0.729712}",
9,success,0.12836730211430655,-0.0612234824099138,0.01,"{""colsample_bytree"": 0.732964, ""max_depth"": 20, ""min_child_samples"": 38, ""n_estimators"": 261, ""random_state"": 442, ""strategy"": ""separate"", ""subsample"": 0.914702}",
10,success,0.14695318339160754,-0.12239630352695607,0.04,"{""colsample_bytree"": 0.762884, ""max_depth"": 9, ""min_child_samples"": 91, ""n_estimators"": 1282, ""random_state"": 396, ""strategy"": ""separate"", ""subsample"": 0.534778}",
11,success,0.1312457225550696,-0.06255547328187133,0.01,"{""colsample_bytree"": 0.566088, ""max_depth"": 30, ""min_child_samples"": 30, ""n_estimators"": 263, ""random_state"": 233, ""strategy"": ""separate"", ""subsample"": 0.933242}",
12,success,0.14686432943389685,-0.12213502289413151,0.01,"{""colsample_bytree"": 0.486884, ""max_depth"": 14, ""min_child_samples"": 46, ""n_estimators"": 433, ""random_state"": 480, ""strategy"": ""shared"", ""subsample"": 0.604754}",
13,success,0.12975432066811785,-0.042155554200535704,0.04,"{""colsample_bytree"": 0.471368, ""max_depth"": 23, ""min_child_samples"": 22, ""n_estimators"": 1347, ""random_state"": 237, ""strategy"": ""separate"", ""subsample"": 0.76707}",
14,success,0.14678955271402175,-0.12190941134389954,0.01,"{""colsample_bytree"": 0.77923, ""max_depth"": 23, ""min_child_samples"": 89, ""n_estimators"": 652, ""random_state"": 432, ""strategy"": ""shared"", ""subsample"": 0.778475}",
15,success,0.12801454921790623,0.004190089268683399,0.01,"{""colsample_bytree"": 0.580815, ""max_depth"": 29, ""min_child_samples"": 5, ""n_estimators"": 569, ""random_state"": 34, ""strategy"": ""shared"", ""subsample"": 0.902523}",
16,success,0.14693485773928094,-0.12314502967169827,0.06,"{""colsample_bytree"": 0.758807, ""max_depth"": 21, ""min_child_samples"": 92, ""n_estimators"": 1970, ""random_state"": 203, ""strategy"": ""separate"", ""subsample"": 0.657339}",
17,success,0.1311075141865239,-0.0383568209966191,0.01,"{""colsample_bytree"": 0.692958, ""max_depth"": 11, ""min_child_samples"": 18, ""n_estimators"": 392, ""random_state"": 135, ""strategy"": ""separate"", ""subsample"": 0.623314}",
18,success,0.1469471106279012,-0.12255206135604768,0.06,"{""colsample_bytree"": 0.998128, ""max_depth"": 21, ""min_child_samples"": 52, ""n_estimators"": 1938, ""random_state"": 71, ""strategy"": ""separate"", ""subsample"": 0.680998}",
19,success,0.12421276592284058,0.05084969621392869,0.01,"{""colsample_bytree"": 0.406989, ""max_depth"": 27, ""min_child_samples"": 7, ""n_estimators"": 286, ""random_state"": 82, ""strategy"": ""separate"", ""subsample"": 0.930551}",
20,success,0.14687688018288605,-0.12198477959803937,0.04,"{""colsample_bytree"": 0.997285, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 1321, ""random_state"": 271, ""strategy"": ""separate"", ""subsample"": 0.69081}",
21,success,0.12160214539061485,0.10558020141390005,0.05,"{""colsample_bytree"": 0.380186, ""max_depth"": 30, ""min_child_samples"": 2, ""n_estimators"": 1233, ""random_state"": 454, ""strategy"": ""separate"", ""subsample"": 0.840142}",
