rank,trial,validation_avg_rmse,validation_avg_r2,params
1,trial_01,0.119324,0.128305,"{""colsample_bytree"": 0.348978, ""max_depth"": 23, ""min_child_samples"": 1, ""n_estimators"": 1809, ""random_state"": 72, ""strategy"": ""separate"", ""subsample"": 0.922465}"
2,baseline,0.137005,-0.064250,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}"
