trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.12377768070516328,0.0934846200642976,0.04,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.13838499517332445,-0.06157155631341824,0.02,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.725624, ""early_stopping_rounds"": 105, ""learning_rate"": 0.011751, ""max_depth"": 4, ""min_child_samples"": 48, ""n_estimators"": 1412, ""num_leaves"": 14, ""random_state"": 217, ""reg_alpha"": 3.703339, ""reg_lambda"": 2.726833, ""strategy"": ""shared"", ""subsample"": 0.734884}",
3,success,0.1394658622660996,-0.0647736637686302,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.875331, ""early_stopping_rounds"": 65, ""learning_rate"": 0.025305, ""max_depth"": 2, ""min_child_samples"": 45, ""n_estimators"": 1267, ""num_leaves"": 24, ""random_state"": 415, ""reg_alpha"": 2.097599, ""reg_lambda"": 2.246045, ""strategy"": ""shared"", ""subsample"": 0.879005}",
4,success,0.13737013589123623,-0.07968407509399668,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.723186, ""early_stopping_rounds"": 107, ""learning_rate"": 0.033818, ""max_depth"": 3, ""min_child_samples"": 117, ""n_estimators"": 3962, ""num_leaves"": 13, ""random_state"": 136, ""reg_alpha"": 0.483582, ""reg_lambda"": 4.237472, ""strategy"": ""shared"", ""subsample"": 0.784149}",
5,success,0.13861175504592296,-0.07409716381545206,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.85716, ""early_stopping_rounds"": 54, ""learning_rate"": 0.018738, ""max_depth"": 5, ""min_child_samples"": 90, ""n_estimators"": 4892, ""num_leaves"": 9, ""random_state"": 361, ""reg_alpha"": 4.427259, ""reg_lambda"": 1.808175, ""strategy"": ""shared"", ""subsample"": 0.773295}",
6,success,0.14053677922540167,-0.06220669824142746,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.813353, ""early_stopping_rounds"": 75, ""learning_rate"": 0.064115, ""max_depth"": 2, ""min_child_samples"": 32, ""n_estimators"": 2366, ""num_leaves"": 14, ""random_state"": 108, ""reg_alpha"": 4.170552, ""reg_lambda"": 0.81327, ""strategy"": ""shared"", ""subsample"": 0.795032}",
7,success,0.1384433639123279,-0.083335487355801,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.947381, ""early_stopping_rounds"": 117, ""learning_rate"": 0.04739, ""max_depth"": 3, ""min_child_samples"": 79, ""n_estimators"": 1901, ""num_leaves"": 12, ""random_state"": 167, ""reg_alpha"": 3.199999, ""reg_lambda"": 2.784749, ""strategy"": ""shared"", ""subsample"": 0.794864}",
8,success,0.14027050920911274,-0.07011345802130803,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.935727, ""early_stopping_rounds"": 113, ""learning_rate"": 0.066353, ""max_depth"": 5, ""min_child_samples"": 28, ""n_estimators"": 762, ""num_leaves"": 15, ""random_state"": 256, ""reg_alpha"": 4.381838, ""reg_lambda"": 1.573389, ""strategy"": ""shared"", ""subsample"": 0.752746}",
9,success,0.13916263857118424,-0.08294599679591186,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.886753, ""early_stopping_rounds"": 76, ""learning_rate"": 0.028542, ""max_depth"": 3, ""min_child_samples"": 91, ""n_estimators"": 1670, ""num_leaves"": 30, ""random_state"": 113, ""reg_alpha"": 2.142169, ""reg_lambda"": 2.917665, ""strategy"": ""shared"", ""subsample"": 0.834744}",
10,success,0.13908832347332115,-0.08187738904911024,0.01,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.87012, ""early_stopping_rounds"": 106, ""learning_rate"": 0.062905, ""max_depth"": 2, ""min_child_samples"": 100, ""n_estimators"": 1244, ""num_leaves"": 11, ""random_state"": 240, ""reg_alpha"": 2.982045, ""reg_lambda"": 1.923837, ""strategy"": ""shared"", ""subsample"": 0.739996}",
