trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.12377768070516328,0.0934846200642976,0.03,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.13919225113036612,-0.059173862188868685,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.640998, ""early_stopping_rounds"": 95, ""learning_rate"": 0.013502, ""max_depth"": 5, ""min_child_samples"": 38, ""n_estimators"": 956, ""num_leaves"": 30, ""random_state"": 217, ""reg_alpha"": 2.222003, ""reg_lambda"": 1.6361, ""strategy"": ""shared"", ""subsample"": 0.655815}",
3,success,0.1412724687267923,-0.06675737718277358,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.886408, ""early_stopping_rounds"": 77, ""learning_rate"": 0.040609, ""max_depth"": 7, ""min_child_samples"": 13, ""n_estimators"": 883, ""num_leaves"": 53, ""random_state"": 302, ""reg_alpha"": 2.103975, ""reg_lambda"": 1.258559, ""strategy"": ""shared"", ""subsample"": 0.824498}",
4,success,0.14109769080584483,-0.06397794279023904,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.905398, ""early_stopping_rounds"": 65, ""learning_rate"": 0.10774, ""max_depth"": 5, ""min_child_samples"": 29, ""n_estimators"": 1153, ""num_leaves"": 32, ""random_state"": 434, ""reg_alpha"": 0.306631, ""reg_lambda"": 1.139782, ""strategy"": ""shared"", ""subsample"": 0.686126}",
5,success,0.1391699180022542,-0.07559691344517423,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.717271, ""early_stopping_rounds"": 66, ""learning_rate"": 0.112162, ""max_depth"": 7, ""min_child_samples"": 58, ""n_estimators"": 677, ""num_leaves"": 22, ""random_state"": 296, ""reg_alpha"": 1.885919, ""reg_lambda"": 2.656355, ""strategy"": ""shared"", ""subsample"": 0.63152}",
6,success,0.13874402192950583,-0.059749227195597686,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.75205, ""early_stopping_rounds"": 40, ""learning_rate"": 0.102577, ""max_depth"": 5, ""min_child_samples"": 39, ""n_estimators"": 687, ""num_leaves"": 20, ""random_state"": 190, ""reg_alpha"": 1.360231, ""reg_lambda"": 2.502331, ""strategy"": ""shared"", ""subsample"": 0.946593}",
7,success,0.1403087224951778,-0.06970339222832529,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.668455, ""early_stopping_rounds"": 68, ""learning_rate"": 0.108255, ""max_depth"": 8, ""min_child_samples"": 19, ""n_estimators"": 1593, ""num_leaves"": 56, ""random_state"": 139, ""reg_alpha"": 2.18738, ""reg_lambda"": 0.490207, ""strategy"": ""shared"", ""subsample"": 0.843652}",
8,success,0.13863657200324375,-0.07739883392534597,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.684393, ""early_stopping_rounds"": 60, ""learning_rate"": 0.042067, ""max_depth"": 3, ""min_child_samples"": 61, ""n_estimators"": 729, ""num_leaves"": 35, ""random_state"": 109, ""reg_alpha"": 2.828729, ""reg_lambda"": 2.629103, ""strategy"": ""shared"", ""subsample"": 0.707096}",
9,success,0.13842776812489832,-0.0754607067375782,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.833834, ""early_stopping_rounds"": 48, ""learning_rate"": 0.030002, ""max_depth"": 4, ""min_child_samples"": 78, ""n_estimators"": 2379, ""num_leaves"": 30, ""random_state"": 71, ""reg_alpha"": 2.693469, ""reg_lambda"": 1.198202, ""strategy"": ""shared"", ""subsample"": 0.705097}",
10,success,0.1411095295576236,-0.06964507994616327,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.768864, ""early_stopping_rounds"": 79, ""learning_rate"": 0.130554, ""max_depth"": 4, ""min_child_samples"": 30, ""n_estimators"": 692, ""num_leaves"": 55, ""random_state"": 271, ""reg_alpha"": 0.190583, ""reg_lambda"": 1.144858, ""strategy"": ""shared"", ""subsample"": 0.916832}",
