rank,trial,validation_avg_rmse,validation_avg_r2,params
1,trial_26,0.074407,0.013873,"{""colsample_bytree"": 0.734811, ""early_stopping_rounds"": 88, ""learning_rate"": 0.197195, ""max_depth"": 10, ""min_child_samples"": 14, ""n_estimators"": 1475, ""num_leaves"": 95, ""random_state"": 3493, ""reg_alpha"": 0.562994, ""reg_lambda"": 0.099981, ""strategy"": ""separate"", ""subsample"": 0.504658}"
2,trial_04,0.079093,-0.045225,"{""colsample_bytree"": 0.67536, ""early_stopping_rounds"": 90, ""learning_rate"": 0.255773, ""max_depth"": 12, ""min_child_samples"": 10, ""n_estimators"": 835, ""num_leaves"": 82, ""random_state"": 4804, ""reg_alpha"": 0.973116, ""reg_lambda"": 0.378534, ""strategy"": ""separate"", ""subsample"": 0.864866}"
3,baseline,0.082424,0.122885,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}"
