trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
17,success,0.11568672410377735,-0.06056971757793698,0.00,"{""colsample_bytree"": 0.473534, ""early_stopping_rounds"": 90, ""learning_rate"": 0.198465, ""max_depth"": 10, ""min_child_samples"": 71, ""n_estimators"": 1475, ""num_leaves"": 245, ""random_state"": 3771, ""reg_alpha"": 0.064026, ""reg_lambda"": 0.021034, ""strategy"": ""shared"", ""subsample"": 0.725743}",
18,success,0.1175443192851921,-0.04718933645860729,0.00,"{""colsample_bytree"": 0.901745, ""early_stopping_rounds"": 82, ""learning_rate"": 0.030588, ""max_depth"": 3, ""min_child_samples"": 13, ""n_estimators"": 114, ""num_leaves"": 73, ""random_state"": 3511, ""reg_alpha"": 0.070857, ""reg_lambda"": 0.238005, ""strategy"": ""shared"", ""subsample"": 0.95271}",
19,success,0.08726462205662673,-0.013829143978840941,0.02,"{""colsample_bytree"": 0.631081, ""early_stopping_rounds"": 75, ""learning_rate"": 0.281299, ""max_depth"": 12, ""min_child_samples"": 65, ""n_estimators"": 1581, ""num_leaves"": 162, ""random_state"": 5805, ""reg_alpha"": 0.40706, ""reg_lambda"": 0.094326, ""strategy"": ""separate"", ""subsample"": 0.621499}",
20,success,0.11617855793553998,-0.07696436225072294,0.00,"{""colsample_bytree"": 0.368893, ""early_stopping_rounds"": 33, ""learning_rate"": 0.145437, ""max_depth"": 3, ""min_child_samples"": 88, ""n_estimators"": 941, ""num_leaves"": 187, ""random_state"": 4074, ""reg_alpha"": 0.402621, ""reg_lambda"": 0.339303, ""strategy"": ""shared"", ""subsample"": 0.992083}",
21,success,0.11881778132997843,-0.04567814863833423,0.00,"{""colsample_bytree"": 0.474865, ""early_stopping_rounds"": 90, ""learning_rate"": 0.165523, ""max_depth"": 5, ""min_child_samples"": 28, ""n_estimators"": 489, ""num_leaves"": 123, ""random_state"": 1605, ""reg_alpha"": 0.923266, ""reg_lambda"": 0.443131, ""strategy"": ""shared"", ""subsample"": 0.639273}",
22,success,0.09592812894124318,-1.903214436479565,0.02,"{""colsample_bytree"": 0.639949, ""early_stopping_rounds"": 27, ""learning_rate"": 0.299792, ""max_depth"": 3, ""min_child_samples"": 35, ""n_estimators"": 1435, ""num_leaves"": 38, ""random_state"": 2698, ""reg_alpha"": 0.213747, ""reg_lambda"": 0.40104, ""strategy"": ""separate"", ""subsample"": 0.583156}",
23,success,0.11238880994466734,-0.06750958408398194,0.00,"{""colsample_bytree"": 0.787614, ""early_stopping_rounds"": 82, ""learning_rate"": 0.29574, ""max_depth"": 7, ""min_child_samples"": 63, ""n_estimators"": 104, ""num_leaves"": 252, ""random_state"": 2537, ""reg_alpha"": 0.730505, ""reg_lambda"": 0.783362, ""strategy"": ""shared"", ""subsample"": 0.642625}",
24,success,0.11443574281934898,-0.07885326219034883,0.00,"{""colsample_bytree"": 0.823583, ""early_stopping_rounds"": 84, ""learning_rate"": 0.073133, ""max_depth"": 3, ""min_child_samples"": 99, ""n_estimators"": 707, ""num_leaves"": 163, ""random_state"": 8702, ""reg_alpha"": 0.057165, ""reg_lambda"": 0.584178, ""strategy"": ""shared"", ""subsample"": 0.771098}",
25,success,0.11811334740483899,-0.07108647731158657,0.00,"{""colsample_bytree"": 0.347573, ""early_stopping_rounds"": 92, ""learning_rate"": 0.288626, ""max_depth"": 4, ""min_child_samples"": 28, ""n_estimators"": 216, ""num_leaves"": 232, ""random_state"": 4034, ""reg_alpha"": 0.861819, ""reg_lambda"": 0.403776, ""strategy"": ""shared"", ""subsample"": 0.534261}",
26,success,0.11507476018128678,-0.054875095735284575,0.00,"{""colsample_bytree"": 0.482536, ""early_stopping_rounds"": 53, ""learning_rate"": 0.033775, ""max_depth"": 12, ""min_child_samples"": 71, ""n_estimators"": 1368, ""num_leaves"": 159, ""random_state"": 6485, ""reg_alpha"": 0.669726, ""reg_lambda"": 0.314184, ""strategy"": ""shared"", ""subsample"": 0.658185}",
27,success,0.07440724824253127,0.013872638239280144,0.01,"{""colsample_bytree"": 0.734811, ""early_stopping_rounds"": 88, ""learning_rate"": 0.197195, ""max_depth"": 10, ""min_child_samples"": 14, ""n_estimators"": 1475, ""num_leaves"": 95, ""random_state"": 3493, ""reg_alpha"": 0.562994, ""reg_lambda"": 0.099981, ""strategy"": ""separate"", ""subsample"": 0.504658}",
28,success,0.11698467916543577,-0.06153886639897136,0.00,"{""colsample_bytree"": 0.410423, ""early_stopping_rounds"": 98, ""learning_rate"": 0.280645, ""max_depth"": 4, ""min_child_samples"": 36, ""n_estimators"": 371, ""num_leaves"": 240, ""random_state"": 8667, ""reg_alpha"": 0.833745, ""reg_lambda"": 0.70354, ""strategy"": ""shared"", ""subsample"": 0.684764}",
29,success,0.13092087055288334,-0.14056920848574128,0.01,"{""colsample_bytree"": 0.914689, ""early_stopping_rounds"": 90, ""learning_rate"": 0.24696, ""max_depth"": 7, ""min_child_samples"": 89, ""n_estimators"": 1467, ""num_leaves"": 253, ""random_state"": 2547, ""reg_alpha"": 0.264466, ""reg_lambda"": 0.889713, ""strategy"": ""separate"", ""subsample"": 0.551793}",
30,success,0.13092087055288334,-0.14056920848574128,0.00,"{""colsample_bytree"": 0.484789, ""early_stopping_rounds"": 26, ""learning_rate"": 0.185401, ""max_depth"": 8, ""min_child_samples"": 92, ""n_estimators"": 677, ""num_leaves"": 67, ""random_state"": 1513, ""reg_alpha"": 0.488532, ""reg_lambda"": 0.905336, ""strategy"": ""separate"", ""subsample"": 0.817119}",
31,success,0.11593860797890747,-0.04300900091603819,0.00,"{""colsample_bytree"": 0.483369, ""early_stopping_rounds"": 74, ""learning_rate"": 0.090237, ""max_depth"": 3, ""min_child_samples"": 21, ""n_estimators"": 1798, ""num_leaves"": 100, ""random_state"": 9190, ""reg_alpha"": 0.741231, ""reg_lambda"": 0.55168, ""strategy"": ""shared"", ""subsample"": 0.818557}",
