trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.1370046199250025,-0.06424975527881273,0.02,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_samples_split"": 2, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.12367532654190357,0.06568488016569962,0.10,"{""colsample_bytree"": 0.397294, ""max_depth"": 15, ""min_child_samples"": 5, ""min_samples_split"": 9, ""n_estimators"": 1028, ""random_state"": 347, ""strategy"": ""separate"", ""subsample"": 0.844642}",
3,success,0.12075915262739421,0.11406767592134288,0.12,"{""colsample_bytree"": 0.351071, ""max_depth"": 16, ""min_child_samples"": 1, ""min_samples_split"": 4, ""n_estimators"": 1664, ""random_state"": 14, ""strategy"": ""separate"", ""subsample"": 0.843728}",
4,success,0.12340482856285324,0.0687669578613307,0.06,"{""colsample_bytree"": 0.411886, ""max_depth"": 28, ""min_child_samples"": 4, ""min_samples_split"": 16, ""n_estimators"": 1916, ""random_state"": 4, ""strategy"": ""separate"", ""subsample"": 0.917853}",
5,success,0.12408576564185858,0.06445381716592774,0.06,"{""colsample_bytree"": 0.402699, ""max_depth"": 25, ""min_child_samples"": 5, ""min_samples_split"": 6, ""n_estimators"": 1665, ""random_state"": 53, ""strategy"": ""separate"", ""subsample"": 0.843063}",
6,success,0.12461469255620544,0.05498807266882575,0.05,"{""colsample_bytree"": 0.411426, ""max_depth"": 18, ""min_child_samples"": 6, ""min_samples_split"": 13, ""n_estimators"": 1578, ""random_state"": 374, ""strategy"": ""separate"", ""subsample"": 0.920745}",
7,success,0.12470243028395962,0.04696055701190858,0.07,"{""colsample_bytree"": 0.415881, ""max_depth"": 18, ""min_child_samples"": 7, ""min_samples_split"": 4, ""n_estimators"": 1898, ""random_state"": 317, ""strategy"": ""separate"", ""subsample"": 0.910408}",
8,success,0.12227257632537619,0.11515646651123794,0.07,"{""colsample_bytree"": 0.404614, ""max_depth"": 21, ""min_child_samples"": 2, ""min_samples_split"": 3, ""n_estimators"": 1982, ""random_state"": 41, ""strategy"": ""separate"", ""subsample"": 0.932253}",
9,success,0.12381457963954028,0.0529190858318034,0.03,"{""colsample_bytree"": 0.322966, ""max_depth"": 27, ""min_child_samples"": 5, ""min_samples_split"": 16, ""n_estimators"": 1006, ""random_state"": 190, ""strategy"": ""separate"", ""subsample"": 0.927137}",
10,success,0.12271719399502594,0.05903350401310561,0.04,"{""colsample_bytree"": 0.284228, ""max_depth"": 36, ""min_child_samples"": 5, ""min_samples_split"": 4, ""n_estimators"": 1229, ""random_state"": 374, ""strategy"": ""separate"", ""subsample"": 0.921826}",
11,success,0.12391369141039399,0.048219892417385356,0.04,"{""colsample_bytree"": 0.378, ""max_depth"": 29, ""min_child_samples"": 7, ""min_samples_split"": 10, ""n_estimators"": 1134, ""random_state"": 286, ""strategy"": ""separate"", ""subsample"": 0.997905}",
12,success,0.1206063632061367,0.11468425906623136,0.05,"{""colsample_bytree"": 0.411009, ""max_depth"": 39, ""min_child_samples"": 1, ""min_samples_split"": 9, ""n_estimators"": 1464, ""random_state"": 206, ""strategy"": ""separate"", ""subsample"": 0.964361}",
13,success,0.12511323646892678,0.015757356107811704,0.03,"{""colsample_bytree"": 0.349846, ""max_depth"": 21, ""min_child_samples"": 10, ""min_samples_split"": 12, ""n_estimators"": 935, ""random_state"": 453, ""strategy"": ""separate"", ""subsample"": 0.842525}",
14,success,0.12311399813558886,0.09135349606002939,0.04,"{""colsample_bytree"": 0.357795, ""max_depth"": 23, ""min_child_samples"": 3, ""min_samples_split"": 9, ""n_estimators"": 1092, ""random_state"": 383, ""strategy"": ""separate"", ""subsample"": 0.948998}",
15,success,0.12338331339883053,0.05007544557226482,0.07,"{""colsample_bytree"": 0.277666, ""max_depth"": 27, ""min_child_samples"": 6, ""min_samples_split"": 9, ""n_estimators"": 1995, ""random_state"": 253, ""strategy"": ""separate"", ""subsample"": 0.999465}",
16,success,0.12241797541570888,0.09260312295772238,0.03,"{""colsample_bytree"": 0.334432, ""max_depth"": 18, ""min_child_samples"": 3, ""min_samples_split"": 7, ""n_estimators"": 896, ""random_state"": 33, ""strategy"": ""separate"", ""subsample"": 0.958416}",
17,success,0.12481523944220163,0.03097310917036178,0.05,"{""colsample_bytree"": 0.360645, ""max_depth"": 34, ""min_child_samples"": 8, ""min_samples_split"": 18, ""n_estimators"": 1581, ""random_state"": 483, ""strategy"": ""separate"", ""subsample"": 0.850283}",
18,success,0.12436947361565791,0.028444405807584356,0.04,"{""colsample_bytree"": 0.318035, ""max_depth"": 36, ""min_child_samples"": 9, ""min_samples_split"": 10, ""n_estimators"": 1034, ""random_state"": 151, ""strategy"": ""separate"", ""subsample"": 0.95372}",
