trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
16,success,0.12692818353052385,-0.058743913366271404,0.02,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.844934, ""early_stopping_rounds"": 105, ""learning_rate"": 0.263006, ""max_depth"": 9, ""min_child_samples"": 74, ""n_estimators"": 2361, ""num_leaves"": 69, ""random_state"": 225, ""reg_alpha"": 7.12949, ""reg_lambda"": 3.989923, ""strategy"": ""separate"", ""subsample"": 0.877633}",
17,success,0.1377556966381949,-0.06794426250861653,0.00,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.79422, ""early_stopping_rounds"": 25, ""learning_rate"": 0.075162, ""max_depth"": 8, ""min_child_samples"": 80, ""n_estimators"": 1215, ""num_leaves"": 20, ""random_state"": 118, ""reg_alpha"": 0.071908, ""reg_lambda"": 7.078409, ""strategy"": ""shared"", ""subsample"": 0.776961}",
18,success,0.1469543261276686,-0.12217246230088814,0.00,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.769617, ""early_stopping_rounds"": 131, ""learning_rate"": 0.030549, ""max_depth"": 6, ""min_child_samples"": 90, ""n_estimators"": 1553, ""num_leaves"": 86, ""random_state"": 125, ""reg_alpha"": 7.233526, ""reg_lambda"": 8.823831, ""strategy"": ""separate"", ""subsample"": 0.742707}",
19,success,0.13598472766332778,-0.0858570637553734,0.00,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.733512, ""early_stopping_rounds"": 35, ""learning_rate"": 0.037354, ""max_depth"": 13, ""min_child_samples"": 50, ""n_estimators"": 979, ""num_leaves"": 125, ""random_state"": 32, ""reg_alpha"": 7.290758, ""reg_lambda"": 6.733645, ""strategy"": ""separate"", ""subsample"": 0.711789}",
20,success,0.14315556074837163,-0.07773585461361386,0.02,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.724307, ""early_stopping_rounds"": 73, ""learning_rate"": 0.242172, ""max_depth"": 4, ""min_child_samples"": 29, ""n_estimators"": 1589, ""num_leaves"": 78, ""random_state"": 448, ""reg_alpha"": 4.218816, ""reg_lambda"": 2.785451, ""strategy"": ""shared"", ""subsample"": 0.595104}",
21,success,0.1407251242479561,-0.07083972835909012,0.18,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.963183, ""early_stopping_rounds"": 134, ""learning_rate"": 0.038394, ""max_depth"": 13, ""min_child_samples"": 6, ""n_estimators"": 2454, ""num_leaves"": 153, ""random_state"": 247, ""reg_alpha"": 8.486957, ""reg_lambda"": 1.663111, ""strategy"": ""shared"", ""subsample"": 0.984498}",
22,success,0.13859384029193755,-0.06355854698832523,0.02,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.892565, ""early_stopping_rounds"": 134, ""learning_rate"": 0.057745, ""max_depth"": 3, ""min_child_samples"": 38, ""n_estimators"": 440, ""num_leaves"": 114, ""random_state"": 80, ""reg_alpha"": 2.852492, ""reg_lambda"": 6.965915, ""strategy"": ""shared"", ""subsample"": 0.963259}",
23,success,0.1393251901410882,-0.08043123890441241,0.01,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.656802, ""early_stopping_rounds"": 145, ""learning_rate"": 0.290926, ""max_depth"": 12, ""min_child_samples"": 74, ""n_estimators"": 1091, ""num_leaves"": 203, ""random_state"": 81, ""reg_alpha"": 0.501423, ""reg_lambda"": 4.767885, ""strategy"": ""shared"", ""subsample"": 0.530479}",
24,success,0.131308382001543,-0.024930438011760554,0.01,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.617602, ""early_stopping_rounds"": 73, ""learning_rate"": 0.256889, ""max_depth"": 4, ""min_child_samples"": 13, ""n_estimators"": 528, ""num_leaves"": 167, ""random_state"": 297, ""reg_alpha"": 1.198866, ""reg_lambda"": 8.902873, ""strategy"": ""shared"", ""subsample"": 0.837606}",
25,success,0.13684905749044293,-0.06346569523164573,0.01,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.630383, ""early_stopping_rounds"": 77, ""learning_rate"": 0.131575, ""max_depth"": 12, ""min_child_samples"": 71, ""n_estimators"": 535, ""num_leaves"": 159, ""random_state"": 203, ""reg_alpha"": 6.69726, ""reg_lambda"": 3.141839, ""strategy"": ""shared"", ""subsample"": 0.658185}",
26,success,0.12825648063426667,-0.032891276071479826,0.06,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.81058, ""early_stopping_rounds"": 147, ""learning_rate"": 0.096999, ""max_depth"": 8, ""min_child_samples"": 14, ""n_estimators"": 2843, ""num_leaves"": 252, ""random_state"": 110, ""reg_alpha"": 5.629936, ""reg_lambda"": 0.999812, ""strategy"": ""separate"", ""subsample"": 0.504658}",
27,success,0.13640529927200837,-0.08712396817289203,0.02,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.916872, ""early_stopping_rounds"": 145, ""learning_rate"": 0.265451, ""max_depth"": 6, ""min_child_samples"": 41, ""n_estimators"": 1629, ""num_leaves"": 109, ""random_state"": 5, ""reg_alpha"": 7.035399, ""reg_lambda"": 6.116778, ""strategy"": ""separate"", ""subsample"": 0.578873}",
28,success,0.12712690551864997,-0.17368550167872354,0.03,"{""boosting_type"": ""gbdt"", ""colsample_bytree"": 0.871208, ""early_stopping_rounds"": 63, ""learning_rate"": 0.28229, ""max_depth"": 5, ""min_child_samples"": 19, ""n_estimators"": 624, ""num_leaves"": 82, ""random_state"": 368, ""reg_alpha"": 1.554479, ""reg_lambda"": 2.817563, ""strategy"": ""separate"", ""subsample"": 0.944856}",
29,success,0.14214764196281507,-0.07378875955608762,0.26,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.923052, ""early_stopping_rounds"": 80, ""learning_rate"": 0.257345, ""max_depth"": 11, ""min_child_samples"": 37, ""n_estimators"": 2797, ""num_leaves"": 140, ""random_state"": 23, ""reg_alpha"": 0.922985, ""reg_lambda"": 4.235758, ""strategy"": ""shared"", ""subsample"": 0.952668}",
30,success,0.14144829850037252,-0.08088056791922173,0.05,"{""boosting_type"": ""dart"", ""colsample_bytree"": 0.852834, ""early_stopping_rounds"": 48, ""learning_rate"": 0.194763, ""max_depth"": 7, ""min_child_samples"": 99, ""n_estimators"": 735, ""num_leaves"": 56, ""random_state"": 280, ""reg_alpha"": 5.609069, ""reg_lambda"": 1.118739, ""strategy"": ""shared"", ""subsample"": 0.720918}",
31,success,0.13302832407941947,-0.008330565552874999,0.01,"{""boosting_type"": ""goss"", ""colsample_bytree"": 0.949491, ""early_stopping_rounds"": 101, ""learning_rate"": 0.170232, ""max_depth"": 9, ""min_child_samples"": 10, ""n_estimators"": 2585, ""num_leaves"": 47, ""random_state"": 108, ""reg_alpha"": 7.961223, ""reg_lambda"": 8.607026, ""strategy"": ""shared"", ""subsample"": 0.654129}",
