rank,trial,validation_avg_rmse,validation_avg_r2,params
1,trial_01,0.114195,0.186449,"{""C"": 6.430325, ""epsilon"": 0.022255}"
2,baseline,0.116519,0.050461,"{""C"": 1.0, ""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""coef0"": 0.0, ""colsample_bytree"": 1.0, ""degree"": 3, ""early_stopping_rounds"": 50, ""epsilon"": 0.1, ""gamma"": ""scale"", ""kernel"": ""rbf"", ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_leaves"": 31, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""separate"", ""subsample"": 1.0, ""weights"": ""uniform""}"
