trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.08242391647856441,0.12288469969609601,0.04,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0}",
2,success,0.11814155119998021,-0.06713741470971517,0.00,"{""colsample_bytree"": 0.371747, ""early_stopping_rounds"": 95, ""learning_rate"": 0.042286, ""max_depth"": 7, ""min_child_samples"": 33, ""n_estimators"": 1409, ""num_leaves"": 77, ""random_state"": 6913, ""reg_alpha"": 0.740668, ""reg_lambda"": 0.545367, ""strategy"": ""shared"", ""subsample"": 0.569769}",
3,success,0.13092087055288334,-0.14056920848574128,0.14,"{""colsample_bytree"": 0.439186, ""early_stopping_rounds"": 48, ""learning_rate"": 0.037172, ""max_depth"": 6, ""min_child_samples"": 82, ""n_estimators"": 161, ""num_leaves"": 144, ""random_state"": 7360, ""reg_alpha"": 0.649884, ""reg_lambda"": 0.544941, ""strategy"": ""separate"", ""subsample"": 0.513268}",
