rank,trial,validation_avg_rmse,validation_avg_r2,params
1,trial_11,0.105646,0.229695,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 41, ""strategy"": ""separate"", ""weights"": ""distance""}"
2,trial_09,0.107321,0.229011,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 41, ""strategy"": ""separate"", ""weights"": ""distance""}"
3,trial_08,0.109058,0.199490,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 414, ""strategy"": ""separate"", ""weights"": ""distance""}"
4,trial_02,0.110282,0.170838,"{""n_neighbors"": 9, ""p"": 1, ""random_state"": 303, ""strategy"": ""shared"", ""weights"": ""distance""}"
5,trial_01,0.112807,0.107933,"{""n_neighbors"": 22, ""p"": 1, ""random_state"": 126, ""strategy"": ""separate"", ""weights"": ""distance""}"
6,baseline,0.121294,0.146045,"{""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""gamma"": 0.0, ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_leaves"": 31, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0, ""weights"": ""uniform""}"
