trial,status,validation_avg_rmse,validation_avg_r2,runtime_minutes,params,reason
1,success,0.12129371612034169,0.1460454742916839,0.03,"{""algorithm"": ""auto"", ""boosting_type"": ""gbdt"", ""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""gamma"": 0.0, ""leaf_size"": 30, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 20, ""min_child_weight"": 1, ""min_samples_split"": 2, ""n_estimators"": 1000, ""n_neighbors"": 5, ""num_leaves"": 31, ""p"": 2, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""strategy"": ""shared"", ""subsample"": 1.0, ""weights"": ""uniform""}",
2,success,0.11280682629052291,0.10793297283517572,0.07,"{""n_neighbors"": 22, ""p"": 1, ""random_state"": 126, ""strategy"": ""separate"", ""weights"": ""distance""}",
3,success,0.11028189889659383,0.17083760072865764,0.00,"{""n_neighbors"": 9, ""p"": 1, ""random_state"": 303, ""strategy"": ""shared"", ""weights"": ""distance""}",
4,success,0.11097060147232367,0.1341012862250707,0.00,"{""n_neighbors"": 15, ""p"": 1, ""random_state"": 112, ""strategy"": ""shared"", ""weights"": ""distance""}",
5,success,0.11028189889659383,0.17083760072865764,0.05,"{""n_neighbors"": 9, ""p"": 1, ""random_state"": 113, ""strategy"": ""separate"", ""weights"": ""distance""}",
6,success,0.11102735633994622,0.1331613862421185,0.00,"{""n_neighbors"": 16, ""p"": 1, ""random_state"": 358, ""strategy"": ""shared"", ""weights"": ""distance""}",
7,success,0.11097060147232367,0.1341012862250707,0.00,"{""n_neighbors"": 15, ""p"": 1, ""random_state"": 111, ""strategy"": ""shared"", ""weights"": ""distance""}",
8,success,0.11348315722150736,0.0989326743405079,0.00,"{""n_neighbors"": 26, ""p"": 1, ""random_state"": 195, ""strategy"": ""shared"", ""weights"": ""distance""}",
9,success,0.10905808941849343,0.1994900337421458,0.00,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 414, ""strategy"": ""separate"", ""weights"": ""distance""}",
10,success,0.10732068664539844,0.22901109182429913,0.00,"{""n_neighbors"": 3, ""p"": 1, ""random_state"": 41, ""strategy"": ""separate"", ""weights"": ""distance""}",
11,success,0.11323730106027662,0.11322902182395128,0.00,"{""n_neighbors"": 19, ""p"": 1, ""random_state"": 361, ""strategy"": ""shared"", ""weights"": ""distance""}",
12,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 41, ""strategy"": ""separate"", ""weights"": ""distance""}",
13,success,0.11500267486084119,0.09068782653112462,0.00,"{""n_neighbors"": 29, ""p"": 1, ""random_state"": 143, ""strategy"": ""separate"", ""weights"": ""distance""}",
14,success,0.11102735633994622,0.1331613862421185,0.00,"{""n_neighbors"": 16, ""p"": 1, ""random_state"": 182, ""strategy"": ""separate"", ""weights"": ""distance""}",
15,success,0.11059682082154625,0.16954147519574925,0.00,"{""n_neighbors"": 8, ""p"": 1, ""random_state"": 274, ""strategy"": ""shared"", ""weights"": ""distance""}",
16,success,0.1131548907327945,0.1011944812581952,0.00,"{""n_neighbors"": 25, ""p"": 1, ""random_state"": 195, ""strategy"": ""separate"", ""weights"": ""distance""}",
17,success,0.10957559890632067,0.16344663609543184,0.00,"{""n_neighbors"": 10, ""p"": 1, ""random_state"": 118, ""strategy"": ""shared"", ""weights"": ""distance""}",
18,success,0.1142785574784842,0.09475830339350476,0.00,"{""n_neighbors"": 28, ""p"": 1, ""random_state"": 138, ""strategy"": ""separate"", ""weights"": ""distance""}",
19,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 336, ""strategy"": ""shared"", ""weights"": ""distance""}",
20,success,0.11094691419048928,0.1305503621577819,0.00,"{""n_neighbors"": 17, ""p"": 1, ""random_state"": 136, ""strategy"": ""shared"", ""weights"": ""distance""}",
21,success,0.10962593675618953,0.20142123313028107,0.00,"{""n_neighbors"": 6, ""p"": 1, ""random_state"": 460, ""strategy"": ""separate"", ""weights"": ""distance""}",
22,success,0.11282484705717005,0.10989103091563163,0.00,"{""n_neighbors"": 20, ""p"": 1, ""random_state"": 71, ""strategy"": ""shared"", ""weights"": ""distance""}",
23,success,0.11197291766423408,0.12304432908122376,0.00,"{""n_neighbors"": 18, ""p"": 1, ""random_state"": 441, ""strategy"": ""shared"", ""weights"": ""distance""}",
24,success,0.10905808941849343,0.1994900337421458,0.00,"{""n_neighbors"": 5, ""p"": 1, ""random_state"": 306, ""strategy"": ""separate"", ""weights"": ""distance""}",
25,success,0.10564602614316738,0.22969517563193187,0.00,"{""n_neighbors"": 4, ""p"": 1, ""random_state"": 271, ""strategy"": ""separate"", ""weights"": ""distance""}",
26,success,0.10957559890632067,0.16344663609543184,0.00,"{""n_neighbors"": 10, ""p"": 1, ""random_state"": 394, ""strategy"": ""separate"", ""weights"": ""distance""}",
27,success,0.11280682629052291,0.10793297283517572,0.00,"{""n_neighbors"": 22, ""p"": 1, ""random_state"": 223, ""strategy"": ""separate"", ""weights"": ""distance""}",
28,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 498, ""strategy"": ""separate"", ""weights"": ""distance""}",
29,success,0.11197291766423408,0.12304432908122376,0.00,"{""n_neighbors"": 18, ""p"": 1, ""random_state"": 431, ""strategy"": ""separate"", ""weights"": ""distance""}",
30,success,0.11280682629052291,0.10793297283517572,0.00,"{""n_neighbors"": 22, ""p"": 1, ""random_state"": 391, ""strategy"": ""separate"", ""weights"": ""distance""}",
31,success,0.10921253357078221,0.18303842797412315,0.00,"{""n_neighbors"": 7, ""p"": 1, ""random_state"": 10, ""strategy"": ""separate"", ""weights"": ""distance""}",
