WriteTemp,ReadTemp,DateTime
25.0,25.0,2026-04-09 20:53:01.282358
25.7,25.0,2026-04-09 20:53:03.282792
26.3,25.0,2026-04-09 20:53:05.283164
27.0,25.0,2026-04-09 20:53:07.283889
27.7,25.0,2026-04-09 20:53:09.284682
28.3,25.0,2026-04-09 20:53:11.285206
29.0,25.0,2026-04-09 20:53:13.285896
30,25.0,2026-04-09 20:54:45.324954
30,25.0,2026-04-09 20:55:45.321312
30,25.0,2026-04-09 20:56:45.319131
30,25.0,2026-04-09 20:57:45.310339
30,25.0,2026-04-09 20:58:45.306905
30,25.0,2026-04-09 20:59:45.299989
30,25.0,2026-04-09 21:00:45.294087
