WriteTemp,ReadTemp,DateTime
25.0,25.0,2026-04-09 19:35:08.073550
25.7,25.0,2026-04-09 19:35:10.074256
26.3,25.0,2026-04-09 19:35:12.074524
27.0,25.0,2026-04-09 19:35:14.075224
27.7,25.0,2026-04-09 19:35:16.075616
28.3,25.0,2026-04-09 19:35:18.076130
29.0,25.0,2026-04-09 19:35:20.076603
30,25.0,2026-04-09 19:36:52.145720
30,25.0,2026-04-09 19:37:52.139193
30,25.0,2026-04-09 19:38:52.136864
30,25.0,2026-04-09 19:39:52.129186
30,25.0,2026-04-09 19:40:52.127543
30,25.0,2026-04-09 19:41:52.124260
30,25.0,2026-04-09 19:42:52.121176
