WriteTemp,ReadTemp,DateTime
25.0,25.0,2026-04-10 17:33:02.695052
25.7,25.0,2026-04-10 17:33:04.695483
26.3,25.0,2026-04-10 17:33:06.696298
27.0,25.0,2026-04-10 17:33:08.696684
27.7,25.0,2026-04-10 17:33:10.696986
28.3,25.0,2026-04-10 17:33:12.697399
29.0,25.0,2026-04-10 17:33:14.697830
30,25.0,2026-04-10 17:34:46.764669
30,25.0,2026-04-10 17:35:46.764381
30,25.0,2026-04-10 17:36:46.761685
30,25.0,2026-04-10 17:37:46.766266
30,25.0,2026-04-10 17:38:46.764916
30,25.0,2026-04-10 17:39:46.767500
500,25.0,2026-04-10 19:12:00.063544
